Ref,Mid X,Mid Y,Layer,Rotation
U1,-29.765650,-41.671910,Bottom,-45
J1,-18.568000,0.620000,Bottom,0
J3,-31.551589,-18.454703,Bottom,-90
R2,-20.240642,-17.264077,Bottom,-90
R4,-22.621894,-13.096886,Bottom,-90
C5,-19.050016,-37.504719,Bottom,0
C6,-19.050016,-35.123467,Bottom,0
SW1,-19.050016,-57.173483,Bottom,0
U2,-19.050016,-12.501573,Bottom,0
C3,-31.551589,-52.982857,Bottom,135
R6,-34.489688,-52.349078,Bottom,135
C1,-14.287512,-36.314093,Bottom,180
C2,-41.671910,-39.885971,Bottom,180
C4,-38.695345,-32.146902,Bottom,180
R5,-14.287512,-38.695345,Bottom,180
D1,-36.314093,-10.715634,Bottom,90
D2,-39.885971,-10.715634,Bottom,90
D3,-55.364109,-10.715634,Bottom,90
D4,-58.935987,-10.715634,Bottom,90
D5,-77.986003,-10.715634,Bottom,90
D6,-97.036019,-10.715634,Bottom,90
D7,-116.086035,-10.715634,Bottom,90
D8,-135.136051,-10.715634,Bottom,90
D9,-154.186067,-10.715634,Bottom,90
D10,-173.236083,-10.715634,Bottom,90
D11,-192.286099,-10.715634,Bottom,90
D12,-211.336115,-10.715634,Bottom,90
D13,-230.386131,-10.715634,Bottom,90
D14,-245.864269,-10.715634,Bottom,90
D15,-249.436144,-10.715634,Bottom,90
D16,-6.548443,-29.765650,Bottom,90
D17,-45.839101,-29.765650,Bottom,90
D18,-49.410979,-29.765650,Bottom,90
D19,-68.460995,-29.765650,Bottom,90
D20,-87.511011,-29.765650,Bottom,90
D21,-106.561027,-29.765650,Bottom,90
D22,-125.611043,-29.765650,Bottom,90
D23,-144.661059,-29.765650,Bottom,90
D24,-163.711075,-29.765650,Bottom,90
D25,-182.761091,-29.765650,Bottom,90
D26,-201.811107,-29.765650,Bottom,90
D27,-220.861123,-29.765650,Bottom,90
D28,-239.911139,-29.765650,Bottom,90
D29,-236.339261,-29.765650,Bottom,90
D31,-53.578170,-48.815666,Bottom,90
D32,-50.601605,-48.815666,Bottom,90
D33,-69.651621,-48.815666,Bottom,90
D34,-73.223499,-48.815666,Bottom,90
D35,-92.273515,-48.815666,Bottom,90
D36,-111.323531,-48.815666,Bottom,90
D37,-145.851685,-48.815666,Bottom,90
D38,-149.423563,-48.815666,Bottom,90
D39,-168.473579,-48.815666,Bottom,90
D40,-187.523595,-48.815666,Bottom,90
D41,-206.573611,-48.815666,Bottom,90
D42,-225.623627,-48.815666,Bottom,90
D43,-244.673643,-48.815666,Bottom,90
D44,-272.058041,-48.815666,Bottom,90
D46,-41.076597,-67.865682,Bottom,90
D47,-44.648475,-67.865682,Bottom,90
D48,-60.126613,-67.865682,Bottom,90
D49,-63.698491,-67.865682,Bottom,90
D50,-82.748507,-67.865682,Bottom,90
D51,-101.798523,-67.865682,Bottom,90
D52,-120.848539,-67.865682,Bottom,90
D53,-139.898555,-67.865682,Bottom,90
D54,-158.948571,-67.865682,Bottom,90
D55,-177.998587,-67.865682,Bottom,90
D56,-197.048603,-67.865682,Bottom,90
D57,-216.098619,-67.865682,Bottom,90
D58,-242.292391,-67.865682,Bottom,90
D59,-268.486163,-67.865682,Bottom,90
D61,-51.593750,-86.915625,Bottom,90
D62,-48.418750,-86.915625,Bottom,90
D63,-72.231250,-86.915625,Bottom,90
D67,-150.614189,-86.915698,Bottom,90
D71,-210.145489,-86.915698,Bottom,90
D72,-213.518750,-86.915625,Bottom,90
D73,-239.911139,-86.915698,Bottom,90
D74,-233.958009,-86.915698,Bottom,90
F1,-15.478138,-17.859390,Bottom,90
R1,-17.859390,-17.264077,Bottom,90
R3,-15.478138,-13.096886,Bottom,90
X1,-38.695345,-35.123467,Bottom,90
